geral; gerador; descriminador 
0.2500; 0.9255; 1.5195 
0.2454; 0.9269; 1.5222 
0.2415; 0.9263; 1.5183 
0.2378; 0.9263; 1.5012 
0.2357; 0.9266; 1.5034 
0.2273; 0.9267; 1.5080 
0.2338; 0.9261; 1.4957 
0.2538; 0.9259; 1.5043 
0.2497; 0.9259; 1.5046 
0.2496; 0.9261; 1.5028 
0.2519; 0.9258; 1.4963 
0.2534; 0.9259; 1.4845 
0.2455; 0.9251; 1.5017 
0.2478; 0.9248; 1.5059 
0.2474; 0.9248; 1.5093 
0.2481; 0.9242; 1.5143 
0.2460; 0.9238; 1.5217 
0.2497; 0.9235; 1.5280 
0.2512; 0.9234; 1.5317 
0.2508; 0.9234; 1.5240 
0.2543; 0.9233; 1.5206 
0.2522; 0.9229; 1.5209 
0.2482; 0.9234; 1.5208 
0.2446; 0.9228; 1.5261 
0.2442; 0.9225; 1.5320 
0.2437; 0.9218; 1.5283 
0.2421; 0.9218; 1.5275 
0.2422; 0.9218; 1.5276 
0.2398; 0.9213; 1.5301 
0.2429; 0.9211; 1.5310 
0.2430; 0.9200; 1.5362 
0.2464; 0.9203; 1.5445 
0.2443; 0.9203; 1.5409 
0.2456; 0.9202; 1.5433 
0.2441; 0.9197; 1.5442 
0.2456; 0.9200; 1.5439 
0.2469; 0.9193; 1.5476 
0.3559; 0.9193; 1.4459 
0.2491; 0.9193; 1.3827 
0.2487; 0.9190; 1.5161 
0.2415; 0.9193; 1.5222 
0.2232; 0.9193; 1.5090 
0.2584; 0.9196; 1.4980 
0.2497; 0.9190; 1.5196 
0.2335; 0.9191; 1.4920 
0.2239; 0.9190; 1.5274 
0.2219; 0.9185; 1.5477 
0.2303; 0.9185; 1.5629 
0.2224; 0.9173; 1.5894 
0.2335; 0.9171; 1.5697 
0.2286; 0.9166; 1.5779 
0.2248; 0.9171; 1.5486 
0.2213; 0.9172; 1.5467 
0.2301; 0.9172; 1.5581 
0.2384; 0.9171; 1.5554 
0.2437; 0.9170; 1.5533 
0.2402; 0.9166; 1.5472 
0.2393; 0.9170; 1.5661 
0.2377; 0.9165; 1.5587 
0.2346; 0.9167; 1.5581 
0.2412; 0.9165; 1.5655 
0.2376; 0.9164; 1.5553 
0.2328; 0.9164; 1.5440 
0.2355; 0.9166; 1.5396 
0.2345; 0.9170; 1.5471 
0.2364; 0.9169; 1.5431 
0.2366; 0.9173; 1.5233 
0.2362; 0.9174; 1.5252 
0.2367; 0.9172; 1.5212 
0.2357; 0.9174; 1.5095 
0.2347; 0.9170; 1.5149 
0.2359; 0.9166; 1.5149 
0.2359; 0.9168; 1.5091 
0.2358; 0.9166; 1.5071 
0.2415; 0.9163; 1.4995 
0.2419; 0.9163; 1.4915 
0.2394; 0.9160; 1.4895 
0.2369; 0.9158; 1.4879 
0.2371; 0.9158; 1.4916 
0.2358; 0.9155; 1.4947 
0.2343; 0.9152; 1.4942 
0.2331; 0.9147; 1.4967 
0.2364; 0.9151; 1.4963 
0.2383; 0.9151; 1.4987 
0.2377; 0.9157; 1.5029 
0.2362; 0.9164; 1.5018 
0.2341; 0.9160; 1.4983 
0.2806; 0.9164; 1.3289 
0.2661; 0.9163; 1.3276 
0.2885; 0.9157; 1.4025 
0.2690; 0.9159; 1.3783 
0.2852; 0.9162; 1.4464 
0.2845; 0.9159; 1.4576 
0.2714; 0.9156; 1.4842 
0.2498; 0.9156; 1.4575 
0.2403; 0.9155; 1.4431 
0.2434; 0.9155; 1.4585 
0.2498; 0.9154; 1.4439 
0.2443; 0.9152; 1.4425 
0.2374; 0.9151; 1.4545 
0.2335; 0.9154; 1.4444 
0.2638; 0.9160; 1.4562 
0.2664; 0.9154; 1.4430 
0.2717; 0.9148; 1.4462 
0.2655; 0.9143; 1.4523 
0.2647; 0.9142; 1.4580 
0.2629; 0.9142; 1.4719 
0.2642; 0.9142; 1.4639 
0.2658; 0.9141; 1.4678 
0.2628; 0.9144; 1.4593 
0.2649; 0.9144; 1.4430 
0.2638; 0.9143; 1.4512 
0.2620; 0.9143; 1.4482 
0.2558; 0.9140; 1.4474 
0.2561; 0.9139; 1.4516 
0.2531; 0.9135; 1.4605 
0.2496; 0.9141; 1.4691 
0.2450; 0.9142; 1.4653 
0.2445; 0.9145; 1.4675 
0.2460; 0.9146; 1.4733 
0.2398; 0.9141; 1.4746 
0.2431; 0.9137; 1.4770 
0.2390; 0.9141; 1.4749 
0.2398; 0.9139; 1.4746 
0.2375; 0.9143; 1.4776 
0.2394; 0.9141; 1.4786 
0.2405; 0.9138; 1.4779 
0.2420; 0.9136; 1.4821 
0.2397; 0.9133; 1.4820 
0.2398; 0.9140; 1.4819 
0.2375; 0.9144; 1.4861 
0.2370; 0.9139; 1.4863 
0.2403; 0.9139; 1.4877 
0.2396; 0.9133; 1.4913 
0.2379; 0.9133; 1.4932 
0.2365; 0.9131; 1.4951 
0.2364; 0.9128; 1.4926 
0.5213; 0.9124; 1.2825 
0.4873; 0.9118; 1.4424 
0.4096; 0.9125; 1.5409 
0.3767; 0.9127; 1.5780 
0.3482; 0.9131; 1.5668 
0.3272; 0.9136; 1.5500 
0.3290; 0.9136; 1.5256 
0.3249; 0.9133; 1.5369 
0.3061; 0.9131; 1.5546 
0.3039; 0.9133; 1.5462 
0.3001; 0.9128; 1.5692 
0.2965; 0.9131; 1.5497 
0.2882; 0.9128; 1.5248 
0.2909; 0.9126; 1.5073 
0.2810; 0.9128; 1.5008 
0.2745; 0.9132; 1.4922 
0.2713; 0.9127; 1.4932 
0.2841; 0.9125; 1.4924 
0.2851; 0.9124; 1.4845 
0.2747; 0.9118; 1.4843 
0.2714; 0.9117; 1.4811 
0.2644; 0.9118; 1.4804 
